response_id,comment_text,age,profession,time_period,crowding_level,waiting_time_min,sentiment_label,primary_category
31,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,50,Job Seeker,Morning Peak,Severe,21,Negative,Availability
32,"Nothing serious happened, but the route still feels a little risky during rush hour.",30,Small Business,Morning Peak,High,9,Neutral,Safety
33,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,28,Healthcare Worker,Morning Peak,Severe,63,Negative,Safety
34,"During office time, availability is still poor. Demand is clearly higher than supply.",49,Shopkeeper,Morning Peak,Moderate,41,Negative,Availability
35,"Everyone was squeezed together, and even moving one step inside felt impossible.",42,Shopkeeper,Morning Peak,Moderate,42,Negative,Crowding
36,"The ride was still busy, but it felt more comfortable than usual.",42,Teacher,Evening Peak,Severe,11,Positive,Comfort
37,"During office time, availability is still poor. Demand is clearly higher than supply.",48,Student,Morning Peak,Moderate,49,Negative,Availability
38,"For once, the trip moved smoothly and I reached on time.",40,Job Seeker,Morning Peak,Severe,5,Positive,Delay
39,Service frequency was neither very good nor very bad.,60,Office Employee,Evening Peak,Severe,12,Neutral,Availability
40,The bus was so full that I had to stand bent near the gate for almost the whole trip.,36,Job Seeker,Morning Peak,Low,50,Negative,Crowding
41,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",49,Healthcare Worker,Morning Peak,Severe,34,Negative,Cleanliness
42,"Everyone was squeezed together, and even moving one step inside felt impossible.",18,Healthcare Worker,Morning Peak,Severe,54,Negative,Crowding
43,"I was standing at Mirpur for almost 36 minutes and still no bus came on time. For a weekday peak hour, this is exhausting.",44,Small Business,Evening Peak,Severe,44,Negative,Delay
44,Getting on the bus was difficult because it barely stopped near the designated stop.,24,Office Employee,Morning Peak,Severe,41,Negative,Accessibility
45,Staff behavior was better today; they were helpful without being rude.,51,Homemaker,Evening Peak,Moderate,10,Positive,Staff Behavior
46,"Boarding took some effort, but I managed without much trouble.",25,Homemaker,Morning Peak,Severe,17,Neutral,Accessibility
47,Accessibility er dike khub kom attention ache. Peak hour e nama-utha duitae kosto.,52,Job Seeker,Evening Peak,Severe,53,Negative,Accessibility
48,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",40,Healthcare Worker,Morning Peak,High,50,Negative,Cleanliness
49,"It was extremely hot inside the bus, and there was barely any airflow.",60,Job Seeker,Evening Peak,High,20,Negative,Comfort
50,The helper was rude when passengers asked whether the bus would stop at the next point.,47,Small Business,Morning Peak,Severe,61,Negative,Staff Behavior
51,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,41,Student,Evening Peak,Severe,22,Negative,Safety
52,"The stop area was busy, though still usable.",35,Small Business,Morning Peak,Moderate,8,Neutral,Accessibility
53,Route information was just about manageable.,57,Homemaker,Morning Peak,High,17,Neutral,Information
54,I paid more than usual today and there was no proper explanation from the conductor.,58,Small Business,Evening Peak,Low,25,Negative,Cost
55,"A bus came after some waiting, so availability was average today.",47,Freelancer,Morning Peak,High,16,Neutral,Availability
56,Crowding was less intense than I expected today.,45,Shopkeeper,Evening Peak,High,6,Positive,Crowding
57,"From Jatrabari to Gulistan, the delay was frustrating. I left early but still got late because the bus service was irregular.",32,Shopkeeper,Evening Peak,Severe,62,Negative,Delay
58,A little politeness would make a big difference for regular commuters.,18,Driver,Evening Peak,Severe,20,Negative,Staff Behavior
59,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",42,Small Business,Morning Peak,High,23,Negative,Cleanliness
60,"The footpath near the stop was crowded and broken, so reaching the bus safely was not easy.",45,Freelancer,Evening Peak,High,24,Negative,Accessibility
61,"The ride felt somewhat crowded, but I did not face any major safety issue.",36,Homemaker,Evening Peak,High,10,Neutral,Safety
62,"The local bus showed up very late today. By the time I reached my work, I was already behind schedule.",53,Student,Morning Peak,Severe,32,Negative,Delay
63,The fare is not the only issue to the unclear way they collect it creates arguments almost every day.,19,Shopkeeper,Morning Peak,High,21,Negative,Cost
64,The fare felt too high considering how crowded and uncomfortable the ride was.,32,Driver,Morning Peak,Moderate,37,Negative,Cost
65,Aajke bus er jonno eto wait korte holo je matha noshto hoye gelo. Peak hour e regular service thakar kotha.,49,Freelancer,Morning Peak,High,52,Negative,Delay
66,"The bus was crowded, but that is normal during peak time.",19,Shopkeeper,Evening Peak,Severe,10,Neutral,Crowding
67,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,35,Office Employee,Morning Peak,High,33,Negative,Safety
68,The conductor kept shouting instead of answering simple fare questions calmly.,36,Freelancer,Evening Peak,High,27,Negative,Staff Behavior
69,"I expected more buses on Motijheel to Rampura, but service frequency was disappointing today.",30,Small Business,Morning Peak,Moderate,24,Negative,Availability
70,The fare is not the only issue to the unclear way they collect it creates arguments almost every day.,28,Small Business,Evening Peak,Severe,48,Negative,Cost
71,Route information was just about manageable.,19,Office Employee,Evening Peak,High,11,Neutral,Information
72,"There were buses on the route, but not enough to reduce waiting fully.",38,Driver,Evening Peak,Low,18,Neutral,Availability
73,"The stop access felt manageable, even during the busy hour.",38,Shopkeeper,Morning Peak,High,6,Positive,Accessibility
74,"There was pressure inside the bus, but not severe.",38,Driver,Morning Peak,Low,16,Neutral,Crowding
75,The conductor spoke politely and guided passengers clearly.,27,Office Employee,Evening Peak,High,3,Positive,Staff Behavior
76,"For once, the trip moved smoothly and I reached on time.",45,Office Employee,Morning Peak,Severe,4,Positive,Delay
77,I could stand comfortably enough without being pushed around too much.,58,Driver,Morning Peak,Moderate,10,Positive,Crowding
78,The bus was so full that I had to stand bent near the gate for almost the whole trip.,47,Freelancer,Morning Peak,High,52,Negative,Crowding
79,Aajke bus er jonno eto wait korte holo je matha noshto hoye gelo. Peak hour e regular service thakar kotha.,32,Office Employee,Morning Peak,Severe,61,Negative,Delay
80,"Safety was okay today, though the boarding process could be better.",48,Student,Evening Peak,High,8,Neutral,Safety
81,"The vehicle looked poorly maintained, and it made an already tiring trip feel worse.",60,Office Employee,Evening Peak,High,60,Negative,Cleanliness
82,"I got enough information after asking around, though it was not very clear at first.",24,Banker,Morning Peak,High,8,Neutral,Information
83,I felt comparatively secure throughout the journey.,39,Freelancer,Evening Peak,High,4,Positive,Safety
84,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",29,Healthcare Worker,Morning Peak,Severe,58,Negative,Comfort
85,Accessibility was average; it could be better for elderly passengers.,18,Job Seeker,Evening Peak,Severe,16,Neutral,Accessibility
86,"It was not cheap, but not unreasonable either.",18,Student,Evening Peak,Severe,17,Neutral,Cost
87,"There was some confusion, but I still reached the right destination.",32,Student,Evening Peak,High,14,Neutral,Information
88,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,39,Homemaker,Morning Peak,Moderate,32,Negative,Safety
89,"Nothing serious happened, but the route still feels a little risky during rush hour.",21,Homemaker,Evening Peak,Severe,15,Neutral,Safety
90,There was no clear information about where the bus would stop or how long the delay would be.,37,Shopkeeper,Morning Peak,Severe,40,Negative,Information
91,"There was some confusion, but I still reached the right destination.",28,Driver,Morning Peak,Moderate,20,Neutral,Information
92,"I got enough information after asking around, though it was not very clear at first.",18,Homemaker,Morning Peak,Moderate,13,Neutral,Information
93,"Boarding was more orderly today, which made the trip feel safer.",30,Factory Worker,Evening Peak,High,10,Positive,Safety
94,"Everyone was squeezed together, and even moving one step inside felt impossible.",55,Driver,Morning Peak,High,36,Negative,Crowding
95,"I expected more buses on Mohakhali to Badda, but service frequency was disappointing today.",45,Student,Evening Peak,High,37,Negative,Availability
96,"The inside looked maintained, which made the trip easier to tolerate.",30,Office Employee,Morning Peak,High,4,Positive,Cleanliness
97,Getting on the bus was difficult because it barely stopped near the designated stop.,41,Student,Morning Peak,High,55,Negative,Accessibility
98,"It was not cheap, but not unreasonable either.",57,Freelancer,Morning Peak,Severe,20,Neutral,Cost
99,"The inside looked maintained, which made the trip easier to tolerate.",38,Healthcare Worker,Evening Peak,Moderate,3,Positive,Cleanliness
100,Staff behavior made the whole ride more unpleasant than it needed to be.,31,Job Seeker,Evening Peak,High,41,Negative,Staff Behavior
101,"If the service stays like this, the fare should not keep increasing.",47,Office Employee,Evening Peak,High,33,Negative,Cost
102,"I expected more buses on Farmgate to Mohakhali, but service frequency was disappointing today.",20,Teacher,Evening Peak,High,20,Negative,Availability
103,The information given by staff was helpful and saved time.,22,Banker,Morning Peak,Moderate,11,Positive,Information
104,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",28,Shopkeeper,Morning Peak,Severe,58,Negative,Information
105,Staff behavior made the whole ride more unpleasant than it needed to be.,43,Freelancer,Evening Peak,High,27,Negative,Staff Behavior
106,"Peak time e bus kom thake, tai sobai ekta bus er upor chap pore jay.",36,Homemaker,Evening Peak,Moderate,46,Negative,Availability
107,I felt comparatively secure throughout the journey.,45,Healthcare Worker,Evening Peak,High,8,Positive,Safety
108,The bus stopped properly and boarding was easier today.,38,Healthcare Worker,Morning Peak,High,12,Positive,Accessibility
109,There seemed to be more buses on the road than usual.,30,Homemaker,Morning Peak,High,4,Positive,Availability
110,"Vara ta service er sathe match kore na. Joto taka dei, toto quality pai na.",26,Shopkeeper,Morning Peak,High,61,Negative,Cost
111,"The fare felt acceptable, though service quality could still improve.",41,Freelancer,Evening Peak,Severe,15,Neutral,Cost
112,"The footpath near the stop was crowded and broken, so reaching the bus safely was not easy.",24,Healthcare Worker,Morning Peak,Moderate,21,Negative,Accessibility
113,I could follow the stops without much confusion.,49,Small Business,Morning Peak,Moderate,11,Positive,Information
114,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",43,Factory Worker,Evening Peak,Severe,43,Negative,Information
115,I had to ask three people before confirming whether this bus was going my way.,48,Factory Worker,Morning Peak,Severe,53,Negative,Information
116,The fare felt fair enough for the distance I traveled.,44,Driver,Morning Peak,Severe,9,Positive,Cost
117,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",22,Teacher,Evening Peak,Severe,34,Negative,Cleanliness
118,"Traffic slowed the trip, but overall it was average.",28,Freelancer,Evening Peak,High,10,Neutral,Delay
119,"The local bus showed up very late today. By the time I reached my campus, I was already behind schedule.",47,Healthcare Worker,Evening Peak,Moderate,50,Negative,Delay
120,"Same problem again to long wait, slow movement, and too many unnecessary stops. Morning peak in Dhaka feels impossible sometimes.",48,Homemaker,Evening Peak,High,64,Negative,Delay
121,"Too many passengers, no personal space, and constant pushing—this should not be normal.",21,Office Employee,Evening Peak,High,57,Negative,Crowding
122,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,40,Homemaker,Morning Peak,Moderate,63,Negative,Safety
123,A calm and respectful attitude from the staff made the ride easier.,48,Banker,Morning Peak,Moderate,11,Positive,Staff Behavior
124,Communication from the conductor was average today.,33,Banker,Morning Peak,High,19,Neutral,Staff Behavior
125,"It was not cheap, but not unreasonable either.",48,Banker,Evening Peak,Severe,13,Neutral,Cost
126,"The bus was not very clean, but it was acceptable for a regular local bus trip.",28,Student,Morning Peak,High,15,Neutral,Cleanliness
127,Even a small sign or proper announcement could have made this trip easier.,52,Healthcare Worker,Morning Peak,Severe,61,Negative,Information
128,"The fare felt acceptable, though service quality could still improve.",27,Banker,Evening Peak,Moderate,18,Neutral,Cost
129,Accessibility was average; it could be better for elderly passengers.,20,Factory Worker,Evening Peak,Severe,8,Neutral,Accessibility
130,"The ride felt somewhat crowded, but I did not face any major safety issue.",50,Teacher,Evening Peak,Moderate,18,Neutral,Safety
131,There was no clear information about where the bus would stop or how long the delay would be.,50,Healthcare Worker,Evening Peak,Severe,54,Negative,Information
132,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",48,Teacher,Evening Peak,Severe,62,Negative,Cleanliness
133,"There was some waiting time, though it was still manageable.",41,Banker,Morning Peak,High,10,Neutral,Delay
134,"Traffic slowed the trip, but overall it was average.",47,Factory Worker,Morning Peak,Moderate,13,Neutral,Delay
135,"The bus was not very clean, but it was acceptable for a regular local bus trip.",20,Office Employee,Morning Peak,High,11,Neutral,Cleanliness
136,"The local bus showed up very late today. By the time I reached my class, I was already behind schedule.",45,Small Business,Morning Peak,High,54,Negative,Delay
137,The information given by staff was helpful and saved time.,48,Job Seeker,Evening Peak,Severe,7,Positive,Information
138,I would say the cost was average for this route.,26,Small Business,Morning Peak,Severe,8,Neutral,Cost
139,Staff behavior was better today; they were helpful without being rude.,42,Job Seeker,Morning Peak,Low,5,Positive,Staff Behavior
140,"The bus was not very clean, but it was acceptable for a regular local bus trip.",54,Small Business,Evening Peak,Moderate,8,Neutral,Cleanliness
141,I had to ask three people before confirming whether this bus was going my way.,53,Homemaker,Morning Peak,High,65,Negative,Information
142,"I got enough information after asking around, though it was not very clear at first.",49,Driver,Morning Peak,High,17,Neutral,Information
143,I had to ask three people before confirming whether this bus was going my way.,27,Shopkeeper,Evening Peak,Severe,38,Negative,Information
144,"There was some confusion, but I still reached the right destination.",29,Driver,Morning Peak,Moderate,15,Neutral,Information
145,"From Uttara to Airport, the delay was frustrating. I left early but still got late because the bus service was irregular.",34,Office Employee,Evening Peak,Severe,62,Negative,Delay
146,"Traffic slowed the trip, but overall it was average.",45,Office Employee,Evening Peak,High,8,Neutral,Delay
147,Bus e emon bhir chilo je neme jabar agei chinta hoye jacchilo kivabe gate porjonto jabo.,51,Freelancer,Evening Peak,High,63,Negative,Crowding
148,"Nothing serious happened, but the route still feels a little risky during rush hour.",41,Shopkeeper,Morning Peak,Severe,13,Neutral,Safety
149,The helper was rude when passengers asked whether the bus would stop at the next point.,34,Banker,Morning Peak,Severe,45,Negative,Staff Behavior
150,Bus ta onek nongra chilo. Gari te uthar por thekei uncomfortable lagchilo.,26,Freelancer,Evening Peak,High,51,Negative,Cleanliness
151,"The bus was cleaner than I expected, and the seating area was in decent shape.",37,Job Seeker,Morning Peak,High,10,Positive,Cleanliness
152,Crowding was less intense than I expected today.,21,Job Seeker,Morning Peak,Severe,6,Positive,Crowding
153,I had to ask three people before confirming whether this bus was going my way.,41,Job Seeker,Morning Peak,High,46,Negative,Information
154,"Traffic slowed the trip, but overall it was average.",54,Factory Worker,Evening Peak,High,20,Neutral,Delay
155,This route is hard for elderly passengers. Even healthy people struggle to board during peak hours.,26,Office Employee,Evening Peak,High,54,Negative,Accessibility
156,Aajke bus er jonno eto wait korte holo je matha noshto hoye gelo. Peak hour e regular service thakar kotha.,44,Teacher,Evening Peak,Moderate,51,Negative,Delay
157,The bus stopped properly and boarding was easier today.,46,Shopkeeper,Evening Peak,Severe,9,Positive,Accessibility
158,The fare is not the only issue—the unclear way they collect it creates arguments almost every day.,51,Factory Worker,Evening Peak,High,56,Negative,Cost
159,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",31,Factory Worker,Evening Peak,High,65,Negative,Cleanliness
160,Bus ta onek nongra chilo. Gari te uthar por thekei uncomfortable lagchilo.,59,Banker,Evening Peak,Moderate,39,Negative,Cleanliness
161,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,49,Healthcare Worker,Morning Peak,Severe,46,Negative,Availability
162,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",23,Factory Worker,Evening Peak,Moderate,33,Negative,Cleanliness
163,"Vara ta service er sathe match kore na. Joto taka dei, toto quality pai na.",32,Factory Worker,Evening Peak,Moderate,62,Negative,Cost
164,Staff behavior made the whole ride more unpleasant than it needed to be.,53,Healthcare Worker,Evening Peak,Moderate,56,Negative,Staff Behavior
165,"For once, the trip moved smoothly and I reached on time.",60,Banker,Evening Peak,Moderate,4,Positive,Delay
166,Clear route and stop information would save passengers a lot of confusion.,31,Homemaker,Evening Peak,Moderate,54,Negative,Information
167,"I got enough information after asking around, though it was not very clear at first.",22,Student,Evening Peak,High,18,Neutral,Information
168,Staff behavior was okay overall.,42,Freelancer,Morning Peak,Low,18,Neutral,Staff Behavior
169,The fare felt fair enough for the distance I traveled.,28,Driver,Evening Peak,High,5,Positive,Cost
170,Communication from the conductor was average today.,39,Banker,Evening Peak,Severe,20,Neutral,Staff Behavior
171,I had to ask three people before confirming whether this bus was going my way.,47,Office Employee,Evening Peak,High,44,Negative,Information
172,"I was standing at Kuril for almost 37 minutes and still no bus came on time. For a weekday peak hour, this is exhausting.",53,Homemaker,Evening Peak,Moderate,55,Negative,Delay
173,"Nothing serious happened, but the route still feels a little risky during rush hour.",44,Teacher,Evening Peak,Severe,15,Neutral,Safety
174,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",54,Factory Worker,Evening Peak,High,50,Negative,Cleanliness
175,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,57,Homemaker,Morning Peak,High,22,Negative,Crowding
176,"If you miss one local bus on this route, you may have to wait a long time for the next one.",33,Teacher,Evening Peak,Severe,24,Negative,Availability
177,"The driver handled the bus carefully today, and the ride felt safer than usual.",59,Small Business,Evening Peak,Severe,11,Positive,Safety
178,"There were buses on the route, but not enough to reduce waiting fully.",33,Small Business,Morning Peak,High,19,Neutral,Availability
179,The fare is not the only issue—the unclear way they collect it creates arguments almost every day.,26,Office Employee,Morning Peak,High,38,Negative,Cost
180,"If you miss one local bus on this route, you may have to wait a long time for the next one.",59,Healthcare Worker,Morning Peak,High,35,Negative,Availability
181,Bus ta onek nongra chilo. Gari te uthar por thekei uncomfortable lagchilo.,29,Factory Worker,Morning Peak,Severe,42,Negative,Cleanliness
182,Aajke bus er jonno eto wait korte holo je matha noshto hoye gelo. Peak hour e regular service thakar kotha.,55,Homemaker,Evening Peak,Moderate,28,Negative,Delay
183,Ventilation was decent and the trip was less tiring today.,53,Shopkeeper,Morning Peak,Severe,5,Positive,Comfort
184,The conductor spoke politely and guided passengers clearly.,57,Banker,Evening Peak,Severe,8,Positive,Staff Behavior
185,"The inside looked used and worn, but not worse than usual.",57,Small Business,Morning Peak,Moderate,17,Neutral,Cleanliness
186,I did not mind paying this fare because the trip was manageable.,60,Factory Worker,Morning Peak,Severe,9,Positive,Cost
187,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,22,Student,Morning Peak,Severe,61,Negative,Safety
188,Getting on the bus was difficult because it barely stopped near the designated stop.,59,Small Business,Evening Peak,Moderate,39,Negative,Accessibility
189,Service frequency was neither very good nor very bad.,32,Driver,Evening Peak,Severe,20,Neutral,Availability
190,"The ride was tiring, but about what I normally expect from a local bus.",18,Office Employee,Evening Peak,Moderate,10,Neutral,Comfort
191,"The bus was not very clean, but it was acceptable for a regular local bus trip.",45,Banker,Morning Peak,High,18,Neutral,Cleanliness
192,The fare felt fair enough for the distance I traveled.,59,Shopkeeper,Evening Peak,High,11,Positive,Cost
193,"The ride was tiring, but about what I normally expect from a local bus.",30,Healthcare Worker,Evening Peak,High,10,Neutral,Comfort
194,Communication from the conductor was average today.,27,Driver,Morning Peak,High,17,Neutral,Staff Behavior
195,"The driver handled the bus carefully today, and the ride felt safer than usual.",29,Banker,Evening Peak,High,10,Positive,Safety
196,"Everyone was squeezed together, and even moving one step inside felt impossible.",53,Banker,Morning Peak,Moderate,45,Negative,Crowding
197,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",42,Office Employee,Morning Peak,Low,22,Negative,Cleanliness
198,"The bus was a bit late today, but not unusually late for a weekday in Dhaka.",39,Factory Worker,Morning Peak,High,10,Neutral,Delay
199,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,48,Factory Worker,Morning Peak,Severe,51,Negative,Crowding
200,Clear route and stop information would save passengers a lot of confusion.,37,Homemaker,Evening Peak,High,57,Negative,Information
201,"The bus was busy but still manageable, which is a relief during peak time.",48,Student,Morning Peak,Moderate,12,Positive,Crowding
202,A little politeness would make a big difference for regular commuters.,42,Small Business,Morning Peak,Severe,40,Negative,Staff Behavior
203,The information given by staff was helpful and saved time.,49,Shopkeeper,Evening Peak,Severe,10,Positive,Information
204,Clear route and stop information would save passengers a lot of confusion.,19,Driver,Morning Peak,High,61,Negative,Information
205,"Traffic slowed the trip, but overall it was average.",18,Homemaker,Morning Peak,Severe,12,Neutral,Delay
206,"Boarding was more orderly today, which made the trip feel safer.",36,Shopkeeper,Evening Peak,Severe,5,Positive,Safety
207,I could follow the stops without much confusion.,45,Freelancer,Evening Peak,Severe,11,Positive,Information
208,"The bus came sooner than I expected, which almost never happens during peak hour.",35,Teacher,Morning Peak,Moderate,5,Positive,Delay
209,I felt comparatively secure throughout the journey.,36,Student,Morning Peak,Severe,6,Positive,Safety
210,"The ride was jerky, noisy, and uncomfortable, especially while standing.",58,Small Business,Morning Peak,Moderate,42,Negative,Comfort
211,"I expected more buses on Jatrabari to Badda, but service frequency was disappointing today.",33,Office Employee,Morning Peak,Moderate,19,Negative,Availability
212,Staff behavior was okay overall.,18,Homemaker,Morning Peak,Severe,14,Neutral,Staff Behavior
213,"The driver handled the bus carefully today, and the ride felt safer than usual.",19,Freelancer,Evening Peak,High,4,Positive,Safety
214,"The driver handled the bus carefully today, and the ride felt safer than usual.",19,Shopkeeper,Morning Peak,Moderate,6,Positive,Safety
215,The helper was rude when passengers asked whether the bus would stop at the next point.,59,Student,Evening Peak,Moderate,19,Negative,Staff Behavior
216,"Everyone was squeezed together, and even moving one step inside felt impossible.",25,Healthcare Worker,Evening Peak,Moderate,39,Negative,Crowding
217,"It was not cheap, but not unreasonable either.",44,Healthcare Worker,Morning Peak,High,19,Neutral,Cost
218,"It was not cheap, but not unreasonable either.",40,Office Employee,Evening Peak,High,17,Neutral,Cost
219,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",38,Driver,Morning Peak,High,50,Negative,Information
220,Bus e emon bhir chilo je neme jabar agei chinta hoye jacchilo kivabe gate porjonto jabo.,36,Banker,Morning Peak,Moderate,29,Negative,Crowding
221,Staff behavior was better today; they were helpful without being rude.,32,Office Employee,Morning Peak,High,3,Positive,Staff Behavior
222,A little politeness would make a big difference for regular commuters.,37,Freelancer,Morning Peak,High,64,Negative,Staff Behavior
223,"Everyone was squeezed together, and even moving one step inside felt impossible.",44,Banker,Evening Peak,Moderate,25,Negative,Crowding
224,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,30,Student,Morning Peak,High,55,Negative,Crowding
225,"From Azimpur to Shahbagh, the delay was frustrating. I left early but still got late because the bus service was irregular.",20,Student,Evening Peak,Severe,28,Negative,Delay
226,A calm and respectful attitude from the staff made the ride easier.,47,Small Business,Evening Peak,Severe,7,Positive,Staff Behavior
227,The information given by staff was helpful and saved time.,36,Office Employee,Evening Peak,Severe,3,Positive,Information
228,Getting on and off was smoother than usual.,23,Teacher,Morning Peak,Severe,5,Positive,Accessibility
229,"I expected a rough commute, but it was actually manageable.",53,Healthcare Worker,Evening Peak,High,12,Positive,Comfort
230,"During office time, availability is still poor. Demand is clearly higher than supply.",26,Freelancer,Evening Peak,Moderate,42,Negative,Availability
231,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,50,Small Business,Evening Peak,Severe,51,Negative,Safety
232,Bus e emon bhir chilo je neme jabar agei chinta hoye jacchilo kivabe gate porjonto jabo.,25,Teacher,Evening Peak,Low,20,Negative,Crowding
233,"The driver handled the bus carefully today, and the ride felt safer than usual.",27,Student,Morning Peak,Severe,12,Positive,Safety
234,"The bus came sooner than I expected, which almost never happens during peak hour.",21,Teacher,Morning Peak,High,4,Positive,Delay
235,"Same problem again to long wait, slow movement, and too many unnecessary stops. Morning peak in Dhaka feels impossible sometimes.",47,Teacher,Morning Peak,High,39,Negative,Delay
236,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,60,Office Employee,Evening Peak,Moderate,61,Negative,Safety
237,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,20,Healthcare Worker,Morning Peak,Moderate,41,Negative,Availability
238,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",41,Office Employee,Morning Peak,High,60,Negative,Cleanliness
239,"I was standing at Farmgate for almost 31 minutes and still no bus came on time. For a weekday peak hour, this is exhausting.",21,Factory Worker,Morning Peak,High,63,Negative,Delay
240,I could follow the stops without much confusion.,21,Job Seeker,Evening Peak,Moderate,4,Positive,Information
241,Ventilation was decent and the trip was less tiring today.,41,Driver,Evening Peak,Low,8,Positive,Comfort
242,Communication from the conductor was average today.,28,Factory Worker,Evening Peak,Low,16,Neutral,Staff Behavior
